id,workflow_trace_id,domain,batch_id,shapley_values,created_date
1,1bdb68ca-MTAxXX-76c5,payment_fraud,da3aa0b7,"{""DEBITOR_AMOUNT"": 0.0009, ""DEBITOR_ACCOUNT_AGE"": -0.00205, ""CREDITOR_ACCOUNT_AGE"": -0.00093, ""DEBITOR_PHY_AND_TOWER_DISTANCE"": -0.1391, ""CREDITOR_PHY_AND_TOWER_DISTANCE"": -0.19899}",2025-06-13 23:58:31
2,1bdb68ca-MTAxXX-76c5,payment_fraud,da3aa0b7,"{""DEBITOR_AMOUNT"": 0.00317, ""DEBITOR_ACCOUNT_AGE"": 0.00492, ""CREDITOR_ACCOUNT_AGE"": 0.00335, ""DEBITOR_PHY_AND_TOWER_DISTANCE"": -0.13848, ""CREDITOR_PHY_AND_TOWER_DISTANCE"": -0.21287}",2025-06-13 23:58:31
3,1bdb68ca-MTAxXX-76c5,payment_fraud,da3aa0b7,"{""DEBITOR_AMOUNT"": 0.00089, ""DEBITOR_ACCOUNT_AGE"": 0.00329, ""CREDITOR_ACCOUNT_AGE"": -0.00379, ""DEBITOR_PHY_AND_TOWER_DISTANCE"": -0.1382, ""CREDITOR_PHY_AND_TOWER_DISTANCE"": -0.20244}",2025-06-13 23:58:31
4,1bdb68ca-MTAxXX-76c5,payment_fraud,da3aa0b7,"{""DEBITOR_AMOUNT"": 0.00064, ""DEBITOR_ACCOUNT_AGE"": 0.00019, ""CREDITOR_ACCOUNT_AGE"": -0.00131, ""DEBITOR_PHY_AND_TOWER_DISTANCE"": -0.13967, ""CREDITOR_PHY_AND_TOWER_DISTANCE"": -0.20008}",2025-06-13 23:58:31
5,1bdb68ca-MTAxXX-76c5,payment_fraud,da3aa0b7,"{""DEBITOR_AMOUNT"": -0.00089, ""DEBITOR_ACCOUNT_AGE"": 0.01592, ""CREDITOR_ACCOUNT_AGE"": -0.00494, ""DEBITOR_PHY_AND_TOWER_DISTANCE"": 0.08624, ""CREDITOR_PHY_AND_TOWER_DISTANCE"": 0.48883}",2025-06-13 23:58:31
6,1bdb68ca-MTAxXX-76c5,payment_fraud,da3aa0b7,"{""DEBITOR_AMOUNT"": 0.00229, ""DEBITOR_ACCOUNT_AGE"": 0.0031, ""CREDITOR_ACCOUNT_AGE"": 0.00305, ""DEBITOR_PHY_AND_TOWER_DISTANCE"": 0.18798, ""CREDITOR_PHY_AND_TOWER_DISTANCE"": 0.37846}",2025-06-13 23:58:31
7,1bdb68ca-MTAxXX-76c5,payment_fraud,da3aa0b7,"{""DEBITOR_AMOUNT"": 0.00304, ""DEBITOR_ACCOUNT_AGE"": -0.00875, ""CREDITOR_ACCOUNT_AGE"": 0.00251, ""DEBITOR_PHY_AND_TOWER_DISTANCE"": -0.13324, ""CREDITOR_PHY_AND_TOWER_DISTANCE"": -0.20291}",2025-06-13 23:58:31
8,1bdb68ca-MTAxXX-76c5,payment_fraud,da3aa0b7,"{""DEBITOR_AMOUNT"": 0.00022, ""DEBITOR_ACCOUNT_AGE"": -0.0065, ""CREDITOR_ACCOUNT_AGE"": 0.00039, ""DEBITOR_PHY_AND_TOWER_DISTANCE"": -0.13546, ""CREDITOR_PHY_AND_TOWER_DISTANCE"": -0.19842}",2025-06-13 23:58:31
9,1bdb68ca-MTAxXX-76c5,payment_fraud,da3aa0b7,"{""DEBITOR_AMOUNT"": -0.00028, ""DEBITOR_ACCOUNT_AGE"": 0.00273, ""CREDITOR_ACCOUNT_AGE"": -0.00122, ""DEBITOR_PHY_AND_TOWER_DISTANCE"": -0.14011, ""CREDITOR_PHY_AND_TOWER_DISTANCE"": -0.20136}",2025-06-13 23:58:31
10,1bdb68ca-MTAxXX-76c5,payment_fraud,da3aa0b7,"{""DEBITOR_AMOUNT"": 0.00074, ""DEBITOR_ACCOUNT_AGE"": 0.00437, ""CREDITOR_ACCOUNT_AGE"": -0.00163, ""DEBITOR_PHY_AND_TOWER_DISTANCE"": -0.13856, ""CREDITOR_PHY_AND_TOWER_DISTANCE"": -0.20517}",2025-06-13 23:58:31
11,1bdb68ca-MTAxXX-76c5,payment_fraud,da3aa0b7,"{""DEBITOR_AMOUNT"": -0.00098, ""DEBITOR_ACCOUNT_AGE"": -0.00522, ""CREDITOR_ACCOUNT_AGE"": -0.00549, ""DEBITOR_PHY_AND_TOWER_DISTANCE"": 0.24663, ""CREDITOR_PHY_AND_TOWER_DISTANCE"": 0.29433}",2025-06-13 23:58:31
12,1bdb68ca-MTAxXX-76c5,payment_fraud,da3aa0b7,"{""DEBITOR_AMOUNT"": -0.001, ""DEBITOR_ACCOUNT_AGE"": -0.05533, ""CREDITOR_ACCOUNT_AGE"": 0.00477, ""DEBITOR_PHY_AND_TOWER_DISTANCE"": 0.07111, ""CREDITOR_PHY_AND_TOWER_DISTANCE"": 0.49123}",2025-06-13 23:58:31
13,1bdb68ca-MTAxXX-76c5,payment_fraud,da3aa0b7,"{""DEBITOR_AMOUNT"": 0.00026, ""DEBITOR_ACCOUNT_AGE"": -0.00069, ""CREDITOR_ACCOUNT_AGE"": -0.0025, ""DEBITOR_PHY_AND_TOWER_DISTANCE"": -0.13762, ""CREDITOR_PHY_AND_TOWER_DISTANCE"": -0.19963}",2025-06-13 23:58:31
14,1bdb68ca-MTAxXX-76c5,payment_fraud,da3aa0b7,"{""DEBITOR_AMOUNT"": 0.00134, ""DEBITOR_ACCOUNT_AGE"": -0.0028, ""CREDITOR_ACCOUNT_AGE"": 0.00211, ""DEBITOR_PHY_AND_TOWER_DISTANCE"": -0.13706, ""CREDITOR_PHY_AND_TOWER_DISTANCE"": -0.20351}",2025-06-13 23:58:31
15,1bdb68ca-MTAxXX-76c5,payment_fraud,da3aa0b7,"{""DEBITOR_AMOUNT"": -0.00167, ""DEBITOR_ACCOUNT_AGE"": 0.00464, ""CREDITOR_ACCOUNT_AGE"": 0.00057, ""DEBITOR_PHY_AND_TOWER_DISTANCE"": -0.14162, ""CREDITOR_PHY_AND_TOWER_DISTANCE"": -0.20208}",2025-06-13 23:58:31
16,1bdb68ca-MTAxXX-76c5,payment_fraud,da3aa0b7,"{""DEBITOR_AMOUNT"": 0.00021, ""DEBITOR_ACCOUNT_AGE"": 0.00023, ""CREDITOR_ACCOUNT_AGE"": -0.00258, ""DEBITOR_PHY_AND_TOWER_DISTANCE"": -0.1393, ""CREDITOR_PHY_AND_TOWER_DISTANCE"": -0.19877}",2025-06-13 23:58:31
17,1bdb68ca-MTAxXX-76c5,payment_fraud,da3aa0b7,"{""DEBITOR_AMOUNT"": 0.00101, ""DEBITOR_ACCOUNT_AGE"": -0.00284, ""CREDITOR_ACCOUNT_AGE"": -0.00159, ""DEBITOR_PHY_AND_TOWER_DISTANCE"": -0.13847, ""CREDITOR_PHY_AND_TOWER_DISTANCE"": -0.19823}",2025-06-13 23:58:31
18,1bdb68ca-MTAxXX-76c5,payment_fraud,da3aa0b7,"{""DEBITOR_AMOUNT"": -0.00224, ""DEBITOR_ACCOUNT_AGE"": 0.01135, ""CREDITOR_ACCOUNT_AGE"": -0.00088, ""DEBITOR_PHY_AND_TOWER_DISTANCE"": 0.2319, ""CREDITOR_PHY_AND_TOWER_DISTANCE"": 0.30942}",2025-06-13 23:58:31
19,1bdb68ca-MTAxXX-76c5,payment_fraud,da3aa0b7,"{""DEBITOR_AMOUNT"": -0.00381, ""DEBITOR_ACCOUNT_AGE"": 0.01302, ""CREDITOR_ACCOUNT_AGE"": 0.00882, ""DEBITOR_PHY_AND_TOWER_DISTANCE"": 0.06696, ""CREDITOR_PHY_AND_TOWER_DISTANCE"": 0.48712}",2025-06-13 23:58:31
20,1bdb68ca-MTAxXX-76c5,payment_fraud,da3aa0b7,"{""DEBITOR_AMOUNT"": -0.0019, ""DEBITOR_ACCOUNT_AGE"": 0.00445, ""CREDITOR_ACCOUNT_AGE"": -0.00068, ""DEBITOR_PHY_AND_TOWER_DISTANCE"": -0.13998, ""CREDITOR_PHY_AND_TOWER_DISTANCE"": -0.20213}",2025-06-13 23:58:31
21,1bdb68ca-MTAxXX-76c5,payment_fraud,da3aa0b7,"{""DEBITOR_AMOUNT"": 0.00031, ""DEBITOR_ACCOUNT_AGE"": 0.00395, ""CREDITOR_ACCOUNT_AGE"": -0.00065, ""DEBITOR_PHY_AND_TOWER_DISTANCE"": -0.1388, ""CREDITOR_PHY_AND_TOWER_DISTANCE"": -0.20506}",2025-06-13 23:58:31
22,1bdb68ca-MTAxXX-76c5,payment_fraud,da3aa0b7,"{""DEBITOR_AMOUNT"": 0.0, ""DEBITOR_ACCOUNT_AGE"": -0.00773, ""CREDITOR_ACCOUNT_AGE"": -0.00134, ""DEBITOR_PHY_AND_TOWER_DISTANCE"": -0.13471, ""CREDITOR_PHY_AND_TOWER_DISTANCE"": -0.19624}",2025-06-13 23:58:31
23,1bdb68ca-MTAxXX-76c5,payment_fraud,da3aa0b7,"{""DEBITOR_AMOUNT"": 0.00069, ""DEBITOR_ACCOUNT_AGE"": -0.00902, ""CREDITOR_ACCOUNT_AGE"": -0.00074, ""DEBITOR_PHY_AND_TOWER_DISTANCE"": -0.13283, ""CREDITOR_PHY_AND_TOWER_DISTANCE"": -0.19791}",2025-06-13 23:58:31
